titulo,empresa,salario,ubicacion,tipo_de_trabajo,fecha_de_publicacion,enlace
Systems Airworthiness & Artificial Intelligence,Airbus,,Madrid,,04/04/2026,https://www.tecnoempleo.com/systems-airworthiness-artificial-intelligence-airb/python-machine-learning/rf-18d616931237437a1b48
Network Maintenance technician,Airbus,,Madrid,,04/04/2026,https://www.tecnoempleo.com/network-maintenance-technician-airbus/easa-emar/rf-7aed105a02df53de1641
Air Power Digital and Agile Implementation,Airbus,,Madrid,,04/04/2026,https://www.tecnoempleo.com/air-power-digital-and-agile-implementation-airbus/google-workspace-atlassi/rf-ae2c11f162a8534c394e
Cybersecurity Architect,Airbus,,Madrid,,04/04/2026,https://www.tecnoempleo.com/cybersecurity-architect-airbus/pki-cryptography/rf-8bf41512f2b2f3dcd44f
Engine and Propeller Integration,Airbus,,Madrid,Híbrido,04/04/2026,https://www.tecnoempleo.com/engine-and-propeller-integration-airbus/powerplant/rf-fe2417fed267531d134f
Desarrollador/a BPM Appian,Sopra Steria,,Madrid,,04/04/2026,https://www.tecnoempleo.com/desarrollador-bpm-appian-sopra-steria/sail/rf-d1cc1738524fd31bf04b
Desarrollador/a Front Cells / Lit,Sopra Steria,,Madrid,,04/04/2026,https://www.tecnoempleo.com/desarrollador-front-cells-lit-sopra-steria/javascript-litelement/rf-b9ff146e025a2362154f
Programador Java/Angular con francés,Sopra Steria,,Valencia,,04/04/2026,https://www.tecnoempleo.com/programador-java-angular-con-frances-sopra-steria/cloud/rf-43311c19b29873ea7548
Desarrollador/a Senior Java,Sopra Steria,,Madrid,,04/04/2026,https://www.tecnoempleo.com/desarrollador-senior-java-sopra-steria/microservicios/rf-9a081733c2e7b36eca42
Financial Crime Data Strategy Lead,GFR Technologies SE,,Madrid,,04/04/2026,https://www.tecnoempleo.com/financial-crime-data-strategy-lead-gfr-technologie/sparrow-safewatch/rf-764e1fe792c903350847
Arquitecto/a Java,Aubay,,Barcelona,Híbrido,04/04/2026,https://www.tecnoempleo.com/arquitecto-java-aubay/spring-aws/rf-d5a11b2082e253720b43
"IT Change, Problem & Incident Manager",Aubay,,Barcelona,Híbrido,04/04/2026,https://www.tecnoempleo.com/it-change-problem-incident-manager-aubay/itil-agile/rf-19641e9912f5934dae41
Programador/a Cobol,Aubay,,Barcelona,,04/04/2026,https://www.tecnoempleo.com/programador-cobol-aubay/jcl-db2/rf-d8341b68425b63ed7d46
Desarrollador/a Fulstack y Consultor/a,Aubay,,Barcelona,Híbrido,04/04/2026,https://www.tecnoempleo.com/desarrollador-fulstack-consultor-a-aubay/ia-generativa-llms/rf-21291886c27733a53d4b
Amalista Programador/a - Arquitecto/a Java,Aubay,,Barcelona,Híbrido,04/04/2026,https://www.tecnoempleo.com/amalista-programador-arquitecto-java-aubay/spring/rf-9be51a58f279d330cb49
Programador/a Natural Adabas (Remoto),Serem,21.000€ - 24.000€,,100% remoto,04/04/2026,https://www.tecnoempleo.com/programador-natural-adabas-remoto-serem/batch-jcl/rf-fab01760c2322368d54e
Consultor Junior Finanzas (Calypso),Serem,27.000€ - 30.000€,Madrid,Presencial,04/04/2026,https://www.tecnoempleo.com/consultor-junior-finanzas-calypso-serem/calypso/rf-25b5125522d7a33ead46
Gestión Almacén en IT,Serem,,Barcelona,Presencial,04/04/2026,https://www.tecnoempleo.com/gestion-almacen-en-it-serem/excel-outlook/rf-43fb14e6e2dab3334449
"Analista Programador IA, BI",Incoming Domain,21.000€ - 30.000€,Madrid,,03/04/2026,https://www.tecnoempleo.com/analista-programador-ia-bi-incoming-domain/aws-iam/rf-b4a314e702710307044f
Senior Backend Engineer (Java/SpringBoot),UST,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/senior-backend-engineer-java-springboot-ust/spring-boot-angularjs/rf-f4be177d027943a32448
Solution Architect (AWS),UST,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/solution-architect-aws-ust/terraform-aws-cdk/rf-0cbc14cb12233321414e
Consultor/a SAP MM,Baoss,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/consultor-sap-mm-baoss/sap-mm-sap-sd/rf-3d0d14c2a209d3605c4a
