titulo,empresa,salario,ubicacion,tipo_de_trabajo,fecha_de_publicacion,enlace
DevOps Senior - Ciberdefensa,CMV Consultores,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/devops-senior-ciberdefensa-cmv-consultores/kubernetes-sql/rf-ba2810ee92fbb39ba54a
Técnico/a Instalador de Alarmas,Grupo Sermicro,,Valladolid,Presencial,03/04/2026,https://www.tecnoempleo.com/tecnico-instalador-alarmas-grupo-sermicro/alarmas/rf-50731640825aa3340f4b
Ingeniero desarrollo HW (PLCs / C++),Arelance,30.000€ - 36.000€,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/ingeniero-desarrollo-hw-plcs-c-arelance/c/rf-a9e6183d522623276346
Programadores y Analistas Java,Arelance,30.000€ - 36.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/programadores-analistas-java-arelance/sql-git/rf-501612818262f3595e47
Data Engineer (Junior),CMV Consultores,21.000€ - 27.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/data-engineer-junior-cmv-consultores/aws-github/rf-b2c21f4632bda378ec4f
Desarrollador/a Front-End (React / Next.js),Baoss,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/desarrollador-front-end-react-nextjs-baoss/javascript-es6/rf-4b781ba1d2264310314e
Técnico/a N2 Mantenimiento de CPD,Serem,,,Híbrido,03/04/2026,https://www.tecnoempleo.com/tecnico-n2-mantenimiento-cpd-serem/linux-cau/rf-be951ca6a2f08375cf48
Gestión de Accesos - UAM / IAM,Baoss,,Madrid,,03/04/2026,https://www.tecnoempleo.com/gestion-accesos-uam-iam-baoss/identidades/rf-2cc91874629a836f4d40
Analista Spark,Serem,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/analista-spark-serem/scala-python/rf-f0411387a2f5039db144
Tech Lead CRM & Marketing Automation,Baoss,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/tech-lead-crm-marketing-automation-baoss/salesforce-marketing-cloud-market/rf-4ab51646c27ab3b7cc4c
Desarrollador/a TIBCO,Baoss,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/desarrollador-tibco-baoss/java-c/rf-f12a1e1842b8f30c314d
Backend Java Junior (APIs),Baoss,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/backend-java-junior-apis-baoss/pingid/rf-a71c1c0d4211d363f444
Programador Java con experiencia en Autenticación,Arelance,30.000€ - 36.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/programador-java-con-experiencia-en-autenticacion-/api-rest/rf-0f6c186b723143498442
Técnico/ca Jr IT - Excel Avanzado / Power BI,Baoss,,Madrid,,03/04/2026,https://www.tecnoempleo.com/tecnico-ca-jr-it-excel-avanzado-power-bi-baoss/power-bi-asir/rf-ccac11072268d38e464c
DBA Oracle,PSS,39.000€ - 45.000€,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/dba-oracle-pss/sql-vmware/rf-d4f5189c62a83395c34b
Data Engineer experto en PySpark,PANEL Sistemas Informáticos,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/data-engineer-experto-en-pyspark-panel-sistemas-in/python/rf-8d231bffe21c1359b14c
Analista Programador Visual Basic .Net,CMV Consultores,27.000€ - 30.000€,,Híbrido,03/04/2026,https://www.tecnoempleo.com/analista-programador-visual-basic-net-cmv-consulto/visual-basic-vbnet/rf-f5bc126df25c03a1e143
Desarrollador/a Java,Smartway Studio,30.000€ - 48.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/desarrollador-java-smartway-studio/springboot-mybatis/rf-6d391dee12d3c326984f
Programador/a Cobol AS400,Second Window,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/programador-cobol-as400-second-window/as400/rf-e0851ffd02bdf3b40a40
Operador de Sistemas de Infraestructuras,PSS,21.000€ - 24.000€,Madrid,Presencial,03/04/2026,https://www.tecnoempleo.com/operador-sistemas-infraestructuras-pss/sql-server-windows/rf-f5c910f3e29d73c2fe43
Ingeniero/a Devops,CAS TRAINING,33.000€ - 42.000€,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/ingeniero-devops-cas-training/terraform-ci-cd/rf-cb2d13bd6208b3c8a84c
Desarrollador/a Backend,Tuyú Technology,24.000€ - 27.000€,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/desarrollador-backend-tuyu-technology/aso-apx/rf-f68f1516f23bc375d343
Project Manager / Consultor de Proyectos,CAS TRAINING,36.000€ - 39.000€,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/project-manager-consultor-proyectos-cas-training/excel-scrum/rf-5e431477e2f36373e546
Senior BackEnd Developer Spring Boot,PANEL Sistemas Informáticos,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/senior-backend-developer-spring-boot-panel-sistema/java-microservicios/rf-b61914b39299c3a61d41
Administrador/a de Sistemas Middleware,Arelance,30.000€ - 39.000€,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/administrador-sistemas-middleware-arelance/weblogic-jboss/rf-0d59195242ca6313064f
Service Manager Telecomunicaciones,Gestelcom Servicios,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/service-manager-telecomunicaciones-gestelcom-servi/ccna-kpi/rf-17a81213e27d4394f944
Senior DevOps Architect - OpenShift / ROSA,CMV Consultores,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/senior-devops-architect-openshift-rosa-cmv-consult/github-ci-cd/rf-bd361304e23333f6ba4e
Consultor/a SAP SD,Social You,45.000€ - 54.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/consultor-sap-sd-social-you/sap-sd-rollouts/rf-782c19ea721dd3ef434a
Analista Programador/a java,Second Window,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/analista-programador-java-second-window/jenkins-jpa/rf-46c51ccf32b2336ccc43
Senior DBA Oracle,Second Window,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/senior-dba-oracle-second-window/oracle-exadata-pl-sql/rf-4546116fe2d273436d48
Programador/Técnico Oracle BI Junior,CMV Consultores,18.000€ - 21.000€,,Híbrido,03/04/2026,https://www.tecnoempleo.com/programador-tecnico-oracle-bi-junior-cmv-consultor/oracle-bi-pl-sql/rf-df4b1d7852df4359f540
Programador Java,Second Window,,Madrid,,03/04/2026,https://www.tecnoempleo.com/programador-java-second-window/sonar-jenkins/rf-18e81d88427793004e48
QA TESTER API,CAS TRAINING,27.000€ - 36.000€,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/qa-tester-api-cas-training/apis-karate/rf-076d16e2024eb3d5a841
Software Agentic Architect (IA) en remoto,Digital Talent Agency,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/software-agentic-architect-ia-en-remoto-digital-ta/azure-m365/rf-1c561c306204e3834041
"Programador Cobol, JCL, DB2",Second Window,,Madrid,100% remoto,03/04/2026,https://www.tecnoempleo.com/programador-cobol-jcl-db2-second-window/cobol/rf-78871237a2f8c3e75d48
"DevSecOps Engineer - CI/CD, Kubernetes & Cloud",CAS TRAINING,36.000€ - 45.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/devsecops-engineer-ci-cd-kubernetes-cloud-cas-trai/jenkins-terraform/rf-0e9d1e0cd28e23cc3e45
Técnico de Soporte Nivel 2 (Inglés alto),Serem,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/tecnico-soporte-nivel-2-ingles-alto-serem/ticketing-remedy/rf-99401dec82d503fa7f48
Programador/a Fullstack Java y React,CMV Consultores,36.000€ - 39.000€,Sevilla,100% remoto,03/04/2026,https://www.tecnoempleo.com/programador-fullstack-java-react-cmv-consultores/javascript-typescript/rf-b1971f7512aae3da0846
DBA Oracle / SQL Server (alta disponibilidad),PSS,33.000€ - 39.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/dba-oracle-sql-server-alta-disponibilidad-pss/sql-server-onpremise/rf-630412a8a2f45347d946
Desarrollador/a Java - Microservicios,Serem,,Madrid,,03/04/2026,https://www.tecnoempleo.com/desarrollador-java-microservicios-serem/maven-springboot/rf-2e941d5ca2a3c3e97249
Administrador ITSM Remedy,PSS,27.000€ - 30.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/administrador-itsm-remedy-pss/sql-confluence/rf-89751608a26cf3450f4b
Senior Developer Genesys Cloud CX,CMV Consultores,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/senior-developer-genesys-cloud-cx-cmv-consultores/api-microservicios/rf-2cf218193208331e1445
Senior Developer For Go Lang,Randstad ES,,Madrid,,03/04/2026,https://www.tecnoempleo.com/senior-developer-for-go-lang-randstad-es/golang/rf-3887147e021b53915645
Desarrollador/a fullstack senior,HAYS,,,,03/04/2026,https://www.tecnoempleo.com/desarrollador-fullstack-senior-hays/python-php/rf-560810bfe25be3058d43
Senior SAP SD Consultant,Michael Page,,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/senior-sap-sd-consultant-michael-page/sap-sd/rf-a1d7121d32e513715948
Ingeniero/a de antenas ground segment,GMV,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/ingeniero-antenas-ground-segment-gmv/rf-ecss/rf-26411ea4e2d7732ea840
Senior SAP SD Consultant,HAYS,,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/senior-sap-sd-consultant-hays/hana/rf-98ec1143e27913479146
IT Project Manager,Page Personnel,33.000€ - 42.000€,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/it-project-manager-page-personnel/scrum-kanban/rf-60c819bbf2e813ab1f46
Developer (Python PL/SQL) - Remoto,UST,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/developer-python-pl-sql-remoto-ust/pl-sql-github/rf-ab8215b212dea330c54f
Programador/a Plc/hmi y Puesta En Marcha,Randstad ES,,Madrid,,03/04/2026,https://www.tecnoempleo.com/programador-plc-hmi-puesta-en-marcha-randstad-es/simatic-s7-tia-portal/rf-be9e11505246c3139047
Técnico Senior de Mantenimiento,Michael Page,,Madrid,,03/04/2026,https://www.tecnoempleo.com/tecnico-senior-mantenimiento-michael-page/automatizacion-electricidad/rf-50391de9f2b063d42546
L1 SOC Analyst,UST,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/l1-soc-analyst-ust/siem-qradar/rf-49cd116a520f13f67648
Especialista IA,Michael Page,33.000€ - 45.000€,Sevilla,,03/04/2026,https://www.tecnoempleo.com/especialista-ia-michael-page/inteligencia-artificial-python/rf-100e1d4932b013363c44
Ingeniero/Técnico de calidad producto,HAYS,,,,03/04/2026,https://www.tecnoempleo.com/ingeniero-tecnico-calidad-producto-hays/iso-8d/rf-247b1544d21da3a5424d
Solution Architect ServiceNow,Michael Page,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/solution-architect-servicenow-michael-page/itil/rf-792b1a2692be73647244
Junior C#/.NET,Page Personnel,24.000€ - 27.000€,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/junior-c-net-page-personnel/c-net/rf-574917744217331a2a42
Arquitecto Mainframe - Seguros,Michael Page,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/arquitecto-mainframe-seguros-michael-page/ci-cd/rf-e385113fb27fb3b3d74b
Ingeniero/a PMO Junior,GMV,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/ingeniero-pmo-junior-gmv/doors/rf-82b613319206a3241c49
Técnico de sistemas,HAYS,,Madrid,,03/04/2026,https://www.tecnoempleo.com/tecnico-sistemas-hays/microsoft-365-windows/rf-fcbf192fd22a234ac840
Project Manager,Michael Page,39.000€ - 42.000€,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/project-manager-michael-page/agile-scrum/rf-3ee510e30261e3b98240
Consultor BPMN IBM Blueworks,Grupo Digital,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/consultor-bpmn-ibm-blueworks-grupo-digital/appian/rf-6f171b8ff2d893c38742
DevOps Engineer (Tech Solutions),Michael Page,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/devops-engineer-tech-solutions-michael-page/kubernetes-openshift/rf-4e96117b6289a3f3ab44
Programador/a ABAP Senior (Temporal),Grupo Digital,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/programador-abap-senior-temporal-grupo-digital/sap-hana/rf-27a61841d273a39ed84d
Marketing Specialist,HAYS,,Lleida,,03/04/2026,https://www.tecnoempleo.com/marketing-specialist-hays/zoho-crm/rf-06ed10426292537b364d
Ingeniero/Técnico de Ciberseguridad,Michael Page,,,,03/04/2026,https://www.tecnoempleo.com/ingeniero-tecnico-ciberseguridad-michael-page/fortinet-cisco/rf-a21c1ebf628d034cc14b
Ingeniero/a de Software Embebido,GMV,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/ingeniero-software-embebido-gmv/c-c/rf-d8c6188bb26b93fe4c4f
Consultor SAP PP,Michael Page,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/consultor-sap-pp-michael-page/sap/rf-564e1ca332cc2314544a
Resp. de Mantenimiento interino,Michael Page,,,Presencial,03/04/2026,https://www.tecnoempleo.com/resp-mantenimiento-interino-michael-page/plc-scada/rf-378110d8320873a6f14b
Ingeniero/a de Datos Senior,GMV,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/ingeniero-datos-senior-gmv/big-data-cloudera/rf-2a641892e260b309ec4a
Desarrollador/a Senior Dynamics 365,Michael Page,39.000€ - 54.000€,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/desarrollador-senior-dynamics-365-michael-page/dynamics-365-power-platform/rf-89601d50c237d3836f4a
IT Anaplan Consultant,Michael Page,,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/it-anaplan-consultant-michael-page/sap/rf-d9671b01e25d93371f43
Líder en Ciberseguridad Informática,Randstad ES,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/lider-en-ciberseguridad-informatica-randstad-es/qualys/rf-e5de19db02fff3d0c045
Agile Project Manager,HAYS,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/agile-project-manager-hays/scrum-jira/rf-59041fa1d22283bca04b
Analista Programador/a PL1 - Cobol,Sopra Steria,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/analista-programador-pl1-cobol-sopra-steria/cobol/rf-1c4e1794b2330310fb4f
Consultor/a Odoo,HAYS,,,Híbrido,03/04/2026,https://www.tecnoempleo.com/consultor-odoo-hays/odoo/rf-573418895242831df348
Ingeniero/a de Soporte TELCO,UST,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/ingeniero-soporte-telco-ust/nokia-splunk/rf-12f21e57a266f3bdcb46
Técnico/a Sistemas y Comunicaciones,Michael Page,30.000€ - 45.000€,Madrid,,03/04/2026,https://www.tecnoempleo.com/tecnico-sistemas-comunicaciones-michael-page/cisco-router/rf-8ae51620425d837c9541
Data Analyst (Intenational Bank),Randstad ES,24.000€ - 27.000€,Barcelona,,03/04/2026,https://www.tecnoempleo.com/data-analyst-intenational-bank-randstad-es/data/rf-accb1275529bb3890b42
Ingeniero gestión energética,Page Personnel,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/ingeniero-gestion-energetica-page-personnel/excel-office/rf-94b01288a2b013b2d843
Analista Real Estate - Data Analyst,HAYS,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/analista-real-estate-data-analyst-hays/fabric-sql/rf-17f8179ea2bee33c2741
Responsable de IT,Michael Page,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/responsable-it-michael-page/business-intelligence-hardware/rf-1f1113a4d2f6b3dad744
Responsable IT y Transformación Digital,Michael Page,,,Presencial,03/04/2026,https://www.tecnoempleo.com/responsable-it-transformacion-digital-michael-page/windows-linux/rf-29fd15b542aa23621041
Commitment Letters and Fronting Risk IT Project,HAYS,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/commitment-letters-and-fronting-risk-it-project-ha/sdlc-api/rf-267c1b69223e93300344
Consultor/a SAP FICO Senior,Michael Page,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/consultor-sap-fico-senior-michael-page/s-4hana/rf-f3e610278203b32fcf41
Ingeniero/a industrialización - Automoción,Page Personnel,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/ingeniero-industrializacion-automocion-page-person/amfe-rfq/rf-ca98149bd280a32cd648
SAP Financial Reporting Data Analyst,Michael Page,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/sap-financial-reporting-data-analyst-michael-page/sap/rf-bd4017b40235c3a3634c
Programador/a Telemecanique / Schneider,HAYS,,,Híbrido,03/04/2026,https://www.tecnoempleo.com/programador-telemecanique-schneider-hays/plc/rf-6a941cfb32f7e3f65842
Técnico/a Mecánico/a,Michael Page,,,,03/04/2026,https://www.tecnoempleo.com/tecnico-mecanico-a-michael-page/mecanica/rf-19591395920c33eb2b4c
Payload operations engineer,Page Personnel,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/payload-operations-engineer-page-personnel/git-jira/rf-e09217c6c28b038f544a
Tecnico de Microinformatica,HAYS,,Córdoba,,03/04/2026,https://www.tecnoempleo.com/tecnico-microinformatica-hays/microinformatica/rf-21d915a8a27033cdda42
Diseñador presentaciones (discapacidad),Page Personnel,27.000€ - 36.000€,Madrid,,03/04/2026,https://www.tecnoempleo.com/disenador-presentaciones-discapacidad-page-personn/powerpoint-canva/rf-c5b51b73c2b223a6524c
Desarrollador/a ETL Talend,Sopra Steria,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/desarrollador-etl-talend-sopra-steria/sql-oracle/rf-448f1f94527f634f6743
Administrador Infrastructura TI,Michael Page,42.000€ - 42.000€,Madrid,,03/04/2026,https://www.tecnoempleo.com/administrador-infrastructura-ti-michael-page/vmware-windows/rf-c03219d2a2a2a304654f
Consultor Funcional IT,Aubay,,Madrid,,03/04/2026,https://www.tecnoempleo.com/consultor-funcional-it-aubay/sql-java/rf-175011ec82e903123748
Plant Manager sector metal,Michael Page,,,,03/04/2026,https://www.tecnoempleo.com/plant-manager-sector-metal-michael-page/project-manager/rf-256e16beb28733a28942
Responsable Calidad,Michael Page,,Alicante,,03/04/2026,https://www.tecnoempleo.com/responsable-calidad-michael-page/iso/rf-6c981923926d73b9b84e
"Consultor/a SAP  (MM, SD y/o PP)",Michael Page,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/consultor-sap-mm-sd-y-o-pp-michael-page/s-4hana/rf-cbbd180232933346564f
Responsable IA (h/m),Michael Page,,,Híbrido,03/04/2026,https://www.tecnoempleo.com/responsable-ia-h-m-michael-page/inteligencia-artificial-python/rf-173c10ec124f439fea46
Digital Strategy and Customer Marketing,Michael Page,,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/digital-strategy-and-customer-marketing-michael-pa/salesforce-seo/rf-2cb71eedc2dd93cd4043
Diseño Gráfico y Marketing,Michael Page,,Alicante,,03/04/2026,https://www.tecnoempleo.com/diseno-grafico-marketing-michael-page/photoshop-illustrator/rf-bdb41621420b63a31d4d
IT PMO Logística 3PL,Michael Page,45.000€ - 54.000€,Valladolid,,03/04/2026,https://www.tecnoempleo.com/it-pmo-logistica-3pl-michael-page/sap-oracle/rf-14ca17518235535adc4a
Batch Operations & Support Specialist (,UST,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/batch-operations-support-specialist-ust/control-m-sql/rf-557f12ab32e8a37e084a
Consultor / Programador M365,HAYS,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/consultor-programador-m365-hays/microsoft-365-teams/rf-b6f012f412f99321d243
Ingeniero/a Estructuras Junior,Page Personnel,36.000€ - 39.000€,Valencia,,03/04/2026,https://www.tecnoempleo.com/ingeniero-estructuras-junior-page-personnel/sap2000-idea-statica/rf-ef141f99f28e438d3148
IT SAP SD Project Manager,Michael Page,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/it-sap-sd-project-manager-michael-page/sap/rf-7de811f00244b32c774e
"DBA SQL SERVER, ORACLE, MYSQL (Temporal)",Grupo Digital,,Barcelona,100% remoto,03/04/2026,https://www.tecnoempleo.com/dba-sql-server-oracle-mysql-temporal-grupo-digital/sql-server/rf-3f711e2dd24b330bc24d
Technical Business Analyst / System Integration,UST,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/technical-business-analyst-system-integration-ust/agile-atlassian-jira/rf-8f561a9fb2af33aa1f46
Consultor Técnico en Ciberseguridad,Michael Page,45.000€ - 60.000€,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/consultor-tecnico-en-ciberseguridad-michael-page/dora-iso-27001/rf-03f3197b028fb344b14e
Ingeniero/a de Estructuras Senior,Page Personnel,45.000€ - 54.000€,Valencia,,03/04/2026,https://www.tecnoempleo.com/ingeniero-estructuras-senior-page-personnel/sap2000-idea-statica/rf-f11115d7a213e3baa34d
Ingeniero de Instalaciones térmicas,Page Personnel,,Madrid,,03/04/2026,https://www.tecnoempleo.com/ingeniero-instalaciones-termicas-page-personnel/autocad-revit/rf-6f3f115212daa38e8342
Proyectista Instalaciones - Ingeniería,Page Personnel,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/proyectista-instalaciones-ingenieria-page-personne/bim/rf-2d0f1024e250c312fc4b
Director/a de Tecnología,Michael Page,76.000€ - 76.000€,Barcelona,,03/04/2026,https://www.tecnoempleo.com/director-tecnologia-michael-page/erp-crm/rf-0e0916f9a2ea434b094a
Devops - Azure,Page Personnel,54.000€ - 72.000€,Madrid,,03/04/2026,https://www.tecnoempleo.com/devops-azure-page-personnel/ci-cd-linux/rf-7fdf1193c2596356f748
Desarrollador Frontend React/Typescript,Grupo NS,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/desarrollador-frontend-react-typescript-grupo-ns/angular-nodejs/rf-ceda1c66726c1374034b
Senior SAP PP/MES,Michael Page,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/senior-sap-pp-mes-michael-page/sap/rf-c64f1c0242403382d647
Programador Angular - Gran proyecto IT,Michael Page,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/programador-angular-gran-proyecto-it-michael-page/angular/rf-10f21fc7f29a23e98c47
Power Apps Developer (Remoto),Grupo Digital,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/power-apps-developer-remoto-grupo-digital/power-apps-power-platform/rf-b3f41c9e723f73b4d647
Administrador Sistemas,HAYS,27.000€ - 36.000€,,,03/04/2026,https://www.tecnoempleo.com/administrador-sistemas-hays/windows-linux/rf-4ce91354c206c3431240
Desarrollador/a Node/Angular/Typescript,Grupo NS,,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/desarrollador-node-angular-typescript-grupo-ns/aws-docker/rf-79841c887234331bf445
Ingeniero/a Técnico/a Industrial,HAYS,24.000€ - 30.000€,,,03/04/2026,https://www.tecnoempleo.com/ingeniero-tecnico-industrial-hays/automatizacion/rf-16fc1a007290e318e949
Confidencial - CRM Salesforce specialist,Michael Page,,,Presencial,03/04/2026,https://www.tecnoempleo.com/confidencial-crm-salesforce-specialist-michael-pag/salesforce/rf-ca85190892ed63b8ab4e
Tech Lead Java,HAYS,,,Híbrido,03/04/2026,https://www.tecnoempleo.com/tech-lead-java-hays/spring-boot-dropwizard/rf-1bd6151db21c83dabd46
Programador Java/J2EE/Spring,Grupo NS,24.000€ - 30.000€,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/programador-java-j2ee-spring-grupo-ns/java/rf-9e181109b2635382c84a
Ingeniero de proyectos,HAYS,,,,03/04/2026,https://www.tecnoempleo.com/ingeniero-proyectos-hays/ingenieria-sap/rf-1e00195bb2665362244d
Analista Programador/a Cobol + Inglés,Grupo NS,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/analista-programador-cobol-ingles-grupo-ns/cics-db2/rf-16ba1dadf2e6b3f45841
Mantenimiento electromecanico,Page Personnel,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/mantenimiento-electromecanico-page-personnel/atex-electromecanica/rf-adf71e40b29213daf44b
Custom Software Engineer (SAP SuccessFactors),Grupo Digital,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/custom-software-engineer-sap-successfactors-grupo-/sap/rf-87fa1e4582a433bb7744
Desarrollador /a Ia Google Adk,Randstad ES,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/desarrollador-ia-google-adk-randstad-es/google-adk-dialogflow/rf-f3be18bd22d963f3d746
Tecnico/a de Comunicaciones y Seguridad Perimetral,Digital Talent Agency,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/tecnico-comunicaciones-seguridad-perimetral-digita/routers-switches/rf-5dfa12636203d337cc42
Electromecánico/a,HAYS,,Valencia,,03/04/2026,https://www.tecnoempleo.com/electromecanico-a-hays/plc/rf-a4241ecfa24543f7b64a
Responsable de mantenimiento,Michael Page,,,,03/04/2026,https://www.tecnoempleo.com/responsable-mantenimiento-michael-page/plc-automatizacion/rf-b9e319bec25b83ded54a
Ingeniero Lean,Michael Page,,Valladolid,,03/04/2026,https://www.tecnoempleo.com/ingeniero-lean-michael-page/5s-smed/rf-6f7a1e7032a5539a344a
Analista Funcional Cobol/Unix.Medios de pago,Grupo NS,39.000€ - 45.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/analista-funcional-cobol-unixmedios-pago-grupo-ns/microfocus/rf-b2b3153cd2d88341d742
Consultores BI,Grupo NS,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/consultores-bi-grupo-ns/sql-microstrategy/rf-4c7d1363a2d1736ff342
Data Scientist,HAYS,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/data-scientist-hays/python-spark/rf-ce1e11c6221803ba624a
C++ Team Lead,HAYS,48.000€ - 60.000€,Barcelona,Presencial,03/04/2026,https://www.tecnoempleo.com/c-team-lead-hays/c-typescript/rf-8ac8134a628463979a47
DevOps Engineer. Github Actions. Inglés,Grupo NS,39.000€ - 45.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/devops-engineer-github-actions-ingles-grupo-ns/terraform/rf-046c1cee82b55304a141
Desarrollador TypeScript (Node.js),Page Personnel,30.000€ - 42.000€,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/desarrollador-typescript-nodejs-page-personnel/nodejs-javascript/rf-23b610f652d6c357844e
Ingeniero/a de Datos,Grupo NS,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/ingeniero-datos-grupo-ns/aws-github/rf-b36011c0a201b3e7cc42
IT Business Developer,HAYS,,,,03/04/2026,https://www.tecnoempleo.com/it-business-developer-hays/consultoria/rf-bdfb1c7f324533f7c846
Analista-Funcional / PM,Michael Page,,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/analista-funcional-pm-michael-page/project-manager/rf-b9011c3802280357da4f
Técnico Senior IT,HAYS,,,Presencial,03/04/2026,https://www.tecnoempleo.com/tecnico-senior-it-hays/itil-sistemas/rf-b9911c9d12c8639f8f44
Igeniero PLM,Michael Page,,,,03/04/2026,https://www.tecnoempleo.com/igeniero-plm-michael-page/windchill-sap/rf-16e512d4922083353f41
Consultor SAP EWM. Inglés,Grupo NS,48.000€ - 60.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/consultor-sap-ewm-ingles-grupo-ns/sap-biw-hana/rf-15e31900e28183e7694a
Ingeniero/a Cloud & DevOps,Serem,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/ingeniero-cloud-devops-serem/aws-azure/rf-96b619fd42cf7338df4b
Jefe de Proyecto Analítica Clientes,Cajamar Tecnología,,Almería,Híbrido,03/04/2026,https://www.tecnoempleo.com/jefe-proyecto-analitica-clientes-cajamar-tecnologi/devops-mlops/rf-cb601c382264137f514a
